artists,genres
The Plastic Ono Band,beatlesque
The Platters,adult standards
The Plimsouls,jangle pop
The Plot In You,melodic metalcore
The Poets Of Rhythm,afrobeat
The Pogues,celtic
The Pointer Sisters,dance pop
The Police,album rock
The Polish Ambassador,electropop
The Pop Group,experimental
The Pop Trolls,
The Poppy Family,bubblegum pop
The Posies,alternative pop
The Postal Service,indie pop
The Power Station,dance rock
The Prades Festival Orchestra,
The Prague Brass Soloists,
The Presidents,alternative metal
The Presidents Of The United States Of America,alternative metal
The Pretty Reckless,alternative metal
The Pretty Things,art rock
The Primitives,britpop
The Prisonaires,
The Proclaimers,celtic rock
The Prodigy,big beat
The Producers,
The Product G&B,
The Promise Ring,alternative emo
The Protomen,comic
The Prunes,acid rock
The Psychedelic Furs,art rock
The Psychedelic Scorzonera,
The Psycho Realm,chicano rap
The Pussycat Dolls,dance pop
The Pyramids,surf music
The Quarrymen,beatlesque
The Queers,boston rock
The RCA Victor Symphony Orchestra,
The RH Factor,contemporary jazz
The Raconteurs,alternative rock
The Radiators,jam band
The Radio Dept.,chillwave
The Rah Band,brit funk
The Raiders,brill building pop
The Rain Library,sleep
The Rain Parade,gbvfi
The Raincoats,alternative rock
The Raindrops,brill building pop
The Rance Allen Group,contemporary gospel
The Range,soft rock
The Range Riders,western swing
The Rapture,alternative dance
The Rascals,brill building pop
The Rasmus,finnish alternative rock
The Rationals,classic garage rock
The Rave-Ups,cowpunk
The Ravens,country pop
The Ravyns,
The Ray Charles Singers,easy listening
The Ray Conniff Singers,adult standards
The Ray Corniff Singers,
The Ray Noble Orchestra,
The Raymond Scott Quintette,
The Rays,doo-wop
The Ready Set,alternative pop rock
The Real Kids,boston rock
The Real McKenzies,canadian celtic
The Real Roxanne,electro
The Receiving End Of Sirens,dreamo
The Records,jangle pop
The Red Army Choir,russian folk
The Red Budd Gospel Choir,
The Red Jumpsuit Apparatus,emo
The Red Krayola,experimental
The Red Pears,indie garage rock
The Redwalls,beatlesque
The Refreshments,
The Relaxing Sounds of Swedish Nature,environmental
The Remains,indie folk
The Rembrandt Trio,classical piano trio
The Rembrandts,pop rock
The Rentals,alternative pop
The Replacements,alternative pop
The Residents,art rock
The Reverend Horton Heat,psychobilly
The Revivalists,indie folk
The Revolution,acoustic punk
The Rezillos,pub rock
The Rhythm Rockers,instrumental surf
The Rhythmettes,
The Righteous Brothers,adult standards
The Rio Singers,
The Rip Chords,surf music
The Rippingtons,smooth jazz
The Ritchie Family,deep disco
The Ritz Brothers,
The Rivieras,classic garage rock
The Rivingtons,doo-wop
The Roar of the Greasepaint - The Smell of the Crowd Ensemble,
The Robert Cray Band,blues
The Roberta Martin Singers,gospel singers
The Robins,brill building pop
The Roches,folk
The Rocket Ship Singers,
The Rockets,alternative country
The Rockin' Berries,british invasion
The Rolling Stones,album rock
The Romantics,album rock
The Ronettes,brill building pop
The Rooftop Singers,american folk revival
The Roots,alternative hip hop
The Rosebuds,classic girl group
The Rosenberg Trio,gypsy jazz
The Rosettes,
The Royal Concept,indie pop
The Royal Guardsmen,bubblegum pop
The Royal Victoria Hotel Calypsos,bahamian folk
The Royals,
The Rubinoos,power pop
The Rumjacks,celtic punk
The Runaways,early us punk
The Rutgers University Choir,
The Rutles,beatlesque
The Ruts,oi
The S.O.S Band,disco
The SPIRIT,
The Salsoul Orchestra,deep disco
The Samples,
The Sandals,
The Sandpipers,bubblegum pop
The Santana Band,
The Sapphires,northern soul
The Saturdays,bubblegum dance
The Savoy Hotel Orpheans,
The Saw Doctors,celtic
The School Belles,
The Score,modern alternative rock
The Scottish Baroque Ensemble,
The Script,celtic rock
The Sea and Cake,american post-rock
The Searchers,adult standards
The Seeds,alternative rock
The Seekers,adult standards
The Selecter,punk
The Sesame Street Kids,
The Shadows,adult standards
The Shadows Of Knight,bubblegum pop
The Shamen,acid house
The Shangri-Las,brill building pop
The Shapeshifters,deep house
The Sharks,melodic metalcore
The Sharps,soda pop
The Sheepdogs,canadian indie
The Shells,doo-wop
The Shelter People,
The Shins,albuquerque indie
The Shirelles,adult standards
The Shivas,indie garage rock
The Shivers,
The Silent Comedy,alternative americana
The Silhouettes,doo-wop
The Silvertones,dub
The Simms Twins,
The Simpsons,comic
The Sing Team,anthem worship
The Singing Dogs,animal singing
The Singing Trees,
The Six Parts Seven,american post-rock
The Skatalites,dub
The Skinny Boys,
The Skull Cowboy,
The Skylarks,vocal harmony group
The Skyliners,brill building pop
The Slackers,modern ska punk
The Sleep Helpers,sleep
The Sleeping,screamo
The Slip N' Slide Express,
The Slits,alternative rock
The Slobs,
The Smashing Pumpkins,alternative metal
The Smith Glamann Quintet,
The Smithereens,alternative rock
The Smiths,dance rock
The Smothers Brothers,comic
The Soca Boys feat. Van B. King,
The Soft Boys,alternative rock
The Soft Winds,
The Softones,classic soul
The Soggy Bottom Boys,outlaw country
The Song Swappers,
The Sonics,classic garage rock
The Sorrows,australian alternative rock
The Soul Children,classic soul
The Soul Searchers,go-go
The Soul Stirrers,gospel singers
The Soul Survivors,
The Soulsonic Force,
The Sound,environmental
The Sound Designers,environmental
The Sound Of Music Ensemble,
The Sound Of Music Orchestra,
The Sounds,environmental
The Soup Dragons,britpop
The Source,
The Source & Candi Staton,
The Souther-Hillman-Furay Band,country rock
The Southern California Community Choir,
The Southern Death Cult,gothic rock
The Southern Serenaders,
The Specials,dance rock
The Speks,
The Spencer Davis Group,blues rock
The Spill Canvas,dreamo
The Spinners,classic soul
The Spiral Starecase,bubblegum pop
The Spits,garage pop
The St. Anthony Singers,
The St. Charles Borromeo Choir,
The Standells,bubblegum pop
The Stanley Brothers,appalachian folk
The Staple Singers,chicago soul
The Stardusters,
The Starlighters,
The Starting Line,dreamo
The Statler Brothers,country
The Statlers,
The Staves,indie folk
The Steeldrivers,bluegrass
The Stills-Young Band,country rock
The Stixxx,country rap
The Stone Foxes,alternative roots rock
The Stone Roses,britpop
The Stooges,alternative rock
The Story So Far,alternative emo
The Strangeloves,classic garage rock
The Strangers,bakersfield sound
The Stranglers,art rock
The Stray Birds,lancaster pa indie
The Streets,birmingham hip hop
The String Cheese Incident,jam band
The Strings of the London Festival Orchestra,
The Strings of the Philadelphia Orchestra,string orchestra
The Strokes,alternative rock
The Strumbellas,canadian folk
The Struts,glam rock
The Style Council,art rock
The Stylistics,adult standards
The Subdudes,louisiana blues
The Submarines,indie pop
The Subways,dance-punk
The Sugarcubes,alternative pop
The Sugarhill Gang,east coast hip hop
The Suicide Machines,melodic hardcore
The Suitcase Junket,deep new americana
The Summer Set,alternative pop rock
The Sunday Manoa,hawaiian
The Sundays,alternative pop
The Supermen Lovers,disco house
The Supersonics,rock steady
The Supervillains,east coast reggae
The Supremes,brill building pop
The Surfaris,surf music
The Sutherland Brothers,
The Swallows,rhythm and blues
The Sweet Inspirations,brill building pop
The Sweet Remains,indie folk
The Sweetback Sisters,
The Swellers,alternative emo
The Swinging Blue Jeans,brill building pop
The Swingle Singers,a cappella
The Sword,psychedelic doom
The Sylvers,classic soul
The Symphony Orchestra,
The System,electro
The TMG's,
The Tabulations,classic soul
The Tallest Man On Earth,indie folk
The Tallis Scholars,british choir
The Tams,beach music
The Taxi Gang,
The Taxpayers,anti-folk
The Team,anthem emo
The Teardrop Explodes,art rock
The Techniques,dub
The Teeth,alternative emo
The Temper Trap,alternative dance
The Tempos,
The Temprees,classic soul
The Temptations,classic soul
The Tennors,early reggae
The Tex-I-An Boys,autoharp
The The,canadian contemporary r&b
The Thermals,alternative rock
The Thompson Community Singers,
The Three Degrees,classic girl group
The Three Sounds,hard bop
The Three Stooges,
The Three Suns,easy listening
The Three Tops,rock steady
The Throne,
The Tides,background music
The Tiger,hawaiian indie
The Time,electro
The Time Bomb,
The Ting Tings,alternative dance
The Toasters,euroska
The Tokens,brill building pop
The Tommy McCook All Stars,
The Tony Rich Project,new jack swing
The Tornados,british invasion
The Toyes,
The Tractors,country
The Trade Martin Orchestra,
The Tragically Hip,canadian indie
The Trammps,disco
The Trashmen,classic garage rock
The Travelers,
The Treblemakers,a cappella
The Tremeloes,adult standards
The Troggs,brill building pop
The Tubes,album rock
The Turks,
The Turtles,brill building pop
The Twinz,
The Twisters,
The Tymes,beach music
The UMC's,
The Undead,
The Underachievers,psychedelic hip hop
The Undertones,dance rock
The Undisputed Truth,classic soul
The Union Station,
The Union Underground,alternative metal
The Uniques,rock steady
The United States Military Academy Band,college marching band
The United States Of America,alternative metal
The Unlikely Candidates,fort worth indie
The Up All Nite Crew,
The Upsetters,dub
The Urge,ska punk
The Used,emo
The Vaccines,indie pop
The Valentines,doo-wop
The Valentinos,electrofox
The Vamps,boy band
The Vandals,hardcore punk
The Vapors,dance rock
The Vaselines,alternative rock
The Vaughan Brothers,blues
The Veer Union,alternative metal
The Vegabonds,
The Veldt,indie shoegaze
The Velvelettes,brill building pop
The Velvet Underground,alternative rock
The Ventures,rock-and-roll
The Veronicas,australian pop
The Verve,alternative rock
The Verve Pipe,pop rock
The Very Unknown Band,
The Veterinary Street Jazz Band,
The Vibrators,oi
The Vienna Orchestra,
The Village Callers,hammond organ
The Village Stompers,
The Villian,
The Vines,alternative rock
The Violinaires,gospel singers
The Virginia Boys,bluegrass gospel
The Virgins,dance-punk
The Virus and Antidote,dark trap
The Viscounts,
The Vocal Majority,
The Vogues,brill building pop
The Voices Of Walter Schumann,
The Voidz,modern alternative rock
The Von Bondies,dance-punk
The Wailers,reggae
The Wailin' Jennys,folk
The Waitresses,new wave pop
The Walker Brothers,brill building pop
The Walkmen,alternative rock
The Wallflowers,alternative rock
The Walters,chicago indie
The Wampus Cats,
The Wannadies,swedish alternative rock
The Wanted,boy band
The War On Drugs,indie rock
The Warren Barker Orchestra,
The Waterboys,art rock
The Watson Twins,
The Waylors,
The Weakerthans,canadian indie
The Weather Girls,disco
The Weather Station,canadian folk
The Wedding Present,alternative pop
The Weeknd,canadian contemporary r&b
The Weeks,mississippi indie
The Weepies,acoustic pop
The Weirdos,early us punk
The West Coast Pop Art Experimental Band,classic garage rock
The Whispers,classic soul
The White Buffalo,new americana
The White Noise,sleep
The White Noise Zen & Meditation Sound Lab,sleep
The White Stripes,alternative rock
The White Tie Affair,alternative pop rock
The Whites,alternative dance
The Whitest Boy Alive,alternative dance
The Who,album rock
The Whole Darn Family,rare groove
The Whole Wheat Horns,
The Why Store,
The Wiggles,australian childrens music
The Wilburn Brothers,traditional country
The Wild Tchoupitoulas,native american
The Wilkinsons,canadian country
The Williams Brothers,contemporary gospel
The Winans,gospel
The Winstons,
The Wipers,
The Witnesses,lounge
The Wolverines,
The Wombats,indie pop
The Wonder Stuff,britpop
The Wonder Years,alternative emo
The Wonderland Jazz Band,
The Wonders,beatlesque
The Wood Brothers,blues rock
The Woolies,classic garage rock
The Word Alive,melodic metalcore
The World,boy band
The World's Famous Supreme Team,
The Worship Initiative,anthem worship
The Wreckage,
The Wreckers,candy pop
The Wrecks,indie pop
The Yardbirds,album rock
The Yellow Balloon,sunshine pop
The Yogscast,antiviral pop
The Young Professionals,electropop
The Young Rascals,brill building pop
The Youngbloods,classic rock
The Zeros,indie folk
The Ziggens,cowpunk
The Zodiacs,doo-wop
The Zombies,art rock
The Zutons,english indie rock
The dB's,gbvfi
The little Orchestra Society,
The xx,downtempo
The-Dream,dance pop
TheDooo,
TheFatRat,gaming edm
TheOdd1sOut,
Thee Midniters,classic soul
Thee Oh Sees,alternative rock
Thekla Lazaridou,
Thelma Carpenter,
Thelma Houston,disco
Thelma Oliver,
Thelonious Monk,bebop
Thelonious Monk Orchestra,
Thelonious Monk Quartet,bebop
Thelonious Monk Quintet,jazz
Thelonious Monk Septet,bebop
Thelonious Monk Trio,jazz
Them,australian metalcore
Them Crooked Vultures,alternative metal
Them Two,traditional soul
Theo Adam,
Theo Knobel,
Theo Lingen,vintage schlager
Theodis Ealey,southern soul
Theodor Berger,austro-german modernism
Theodor Scheidl,
Theodora Morse,
Theodore Bikel,klezmer
Theodore Kuchar,
Theodoros Greveniotis,
Theory of a Deadman,alternative metal
Theoxaris Pantidis,
Therapy?,sleep
There For Tomorrow,neon pop punk
Theresa Merritt,
Theresa Rex,scandipop
They Might Be Giants,comic
Thierry De Brunhoff,
Thievery Corporation,downtempo
Thieving Birds,red dirt
Thin Lizzy,album rock
Third Day,ccm
Third Eye,alternative rock
Third Eye Blind,alternative rock
Third World,dub
Thirteen Senses,cornwall indie
Thirty Seconds To Mars,modern rock
Thiruchi Loganathan,
Thiruvananthapuram V Lakshmi,
This Mortal Coil,art pop
This Providence,dreamo
This Will Destroy You,american post-rock
Thom Yorke,art pop
Thomanerchor Leipzig,childrens choir
Thomas & Friends,british childrens music
Thomas Arne,galante era
Thomas Becket,
Thomas Bergersen,epicore
Thomas Doherty,disney
Thomas Dolby,art rock
Thomas Faragher,
Thomas Hallsten Paine,
Thomas Hastings,
Thomas Hemsley,classical baritone
Thomas Koschat,
Thomas Moore,
Thomas Morley,classical
Thomas Newman,scorecore
Thomas Reid,emo rap
Thomas Rhett,contemporary country
Thomas Sanders,indie pop
Thomas Scherman,
Thomas Schippers,opera
Thomas Tallis,anglican liturgy
Thomas Wayne,
Thomas Z. Shepard,
Thomasine Robinson,calming instrumental
Thompson Square,contemporary country
Thompson Twins,dance rock
Thornton Lofthouse,
Thoroughly Modern Millie Ensemble,
Thousand Foot Krutch,alternative metal
Threat,dc hardcore
Three 6 Mafia,crunk
Three Belles,
Three Bells,
Three Days Grace,alternative metal
Three Dog Night,album rock
Three Legged Fox,reggae rock
Three Plus,atl hip hop
Three Times Dope,electro
"Three male Ibo drummers, ogan player",
Three male Vodoun drummers,
Three male drummers,
"Three reed-instrument players, drummer, cymbals",
Thrice,post-hardcore
Thriving Ivory,neo mellow
Throbbing Gristle,art rock
Throttle,
Throwing Muses,alternative pop
Thug Life,gangster rap
Thunder,afrofuturism
Thunder Storm,environmental
Thunderbound Productions,
Thundercat,afrofuturism
Thunderclap Newman,classic uk pop
Thunderstorm,environmental
Thunderstorm Sleep,environmental
Thunderstorm Sound Bank,environmental
Thunderstorms,environmental
Thurl Ravenscroft,movie tunes
Thursday,dreamo
Thurston Harris,doo-wop
Thutmose,underground hip hop
Thy Art Is Murder,australian metal
Thérèse de Saint-Phalle,
Ti Yogan,haitian traditional
Tia,ottawa rap
Tia Blake,
Tia Carrere,
Tiagz,ottawa rap
Tiana Lemnitz,
Tiara Thomas,alternative r&b
Tiberio Y Sus Gatos Negros,cumbia sonidera
Tichina Arnold,
Tico-Alegre All Stars,
Tides Of Man,dreamo
Tierra Cali,banda
Tierra Whack,alternative r&b
Tiffany,new wave pop
Tiffany Evans,deep pop r&b
Tift Merritt,alternative country
Tiger Army,horror punk
Tigers Jaw,alternative emo
Tigger,
Tight Fit,
Tijuana No!,latin alternative
Tijuana Panthers,garage pop
Tikkle Me,swedish electropop
Tiko,
Till Hagen,
Tilla Briem,
Tim Armstrong,punk
Tim Berg,big room
Tim Blake Nelson,
Tim Bowman,smooth jazz
Tim Buckley,art pop
Tim Cappello,
Tim Curry,hollywood
Tim Dog,bronx hip hop
Tim Friese-Greene,
Tim Hardin,country rock
Tim Hecker,ambient
Tim Hudson,
Tim Hugh,
Tim Hughes,
Tim Legend,
Tim Maia,bossa nova
Tim McGraw,contemporary country
Tim O'Brien,bluegrass
Tim Reynolds,
Tim Weisberg,
Tim Wheater,healing
Tim Wilson,comedy
Timan Family Choir,
Timbaland,dance pop
Timber Timbre,freak folk
Timbiriche,grupera
Timbuk 3,
Timeflies,dance pop
Timi Yuro,adult standards
Timmies,lo-fi beats
Timmy,australian dance
Timmy Regisford,deep house
Timmy T,australian dance
Timmy Thomas,classic soul
Timmy Trumpet,australian dance
Timmy and The Lords Of The Underworld,
Timothy B. Schmit,deep soft rock
Timothy Hutchins,classical flute
Timothy Scott,
Timothy Shew,
Timothy T. Mitchum,
Tin Machine,supergroup
Tin Tin Out,hip house
Tina Arena,australian dance
Tina Brooks,bebop
Tina Charles,disco
Tina Kaapana,
Tina Marie DeLeone,
Tina Turner,disco
Tinariwen,afrobeat
Tinashe,alternative r&b
Tinboat,
Tindersticks,art pop
Tine Thing Helseth,classical performance
Tinie Tempah,dance pop
Tink,chicago rap
Tinlicker,edm
Tino Rossi,chanson
Tiny Little Adiantum,
Tiny Meat Gang,meme rap
Tiny Morrie,new mexico music
Tiny Moving Parts,alternative emo
Tiny Tim,novelty
Tion Wayne,london rap
Tipica 73,latin jazz
Tippa Irie,old school dancehall
Tipper,downtempo
Tippu,deep indian pop
Tiroro,haitian traditional
TisaKorean,houston rap
Tish Planes,
Tisha Campbell,
Tita Merello,tango
Titi Botez,muzica populara
Title Fight,alternative emo
"Tito ""El Bambino""",latin
Tito Gobbi,classical baritone
Tito Gomez,mambo
Tito Guízar,ranchera
Tito Gómez,mambo
Tito Nieves,latin
Tito Puente,latin jazz
Tito Puente & His Orchestra,latin jazz
Tito Rodriguez,bolero
Tito Rodriguez & His Orchestra,latin jazz
Tito Rojas,dominican pop
Tito Rojas Y Su Orquesta,salsa
Tito Schipa,italian tenor
Tito Torbellino,corrido
Tito Torbellino Jr,corrido
Tito Y Su Torbellino,corridos tumbados
Titus Turner,jump blues
Titãs,brazilian rock
Tião Carreiro & Pardinho,sertanejo
Tiësto,big room
Tjr,
Tm88,atl trap
Tmsoft’s White Noise Sleep Sounds,sleep
Toad The Wet Sprocket,alternative rock
Toadies,alternative metal
Toby Fox,indie game soundtrack
Toby Keith,contemporary country
Toby Love,bachata
Toby Turner & Tobuscus,antiviral pop
TobyMac,ccm
Tochi Raina,filmi
Today,christian hardcore
Todd Edwards,uk garage
Todd Phillips,instrumental bluegrass
Todd Rhodes,rhythm and blues
Todd Rundgren,album rock
Todd Snider,alternative country
Todd Terje,alternative dance
Todd Terry,chicago house
Todos Tus Muertos,argentine hardcore
Todrick Hall,dance pop
Token,boston hip hop
Tokyo Blade,metal
Tokyo Metropolitan Symphony Orchestra,japanese classical performance
Tokyo Police Club,alternative dance
Tokyo String Quartet,classical performance
Tolis Voskopoulos,classic greek pop
Tolis Xarmantas,
"Tom ""Buttnaked"" Dawg",
Tom Alan Robbins,show tunes
Tom Aldredge,
Tom Brown,disco
Tom Browne,disco
Tom Cochrane,canadian singer-songwriter
Tom Cochrane & Red Rider,classic canadian rock
Tom Constanten,
Tom Dorsey,adult standards
Tom Drake,
Tom Durack,
Tom Finucane,
Tom Glazer,novelty
Tom Gregory,uk pop
Tom Hangs,progressive electro house
Tom Hanks,
Tom Hulce,movie tunes
Tom Johnston,
Tom Jones,adult standards
Tom Kenny,
Tom Krause,classical bass
Tom Lehrer,comic
Tom Lord-Alge,
Tom MacDonald,bc underground hip hop
Tom Misch,indie soul
Tom Morello,modern alternative rock
Tom Moulton,
Tom Newton,
Tom Odell,modern rock
Tom Paxton,american folk revival
Tom Petty,album rock
Tom Petty and the Heartbreakers,album rock
Tom Pierson,show tunes
Tom Robinson Band,glam rock
Tom Rosenthal,british singer-songwriter
Tom Rush,american folk revival
Tom Russell,country rock
Tom Scott,jazz funk
Tom Smothers,
Tom T. Hall,classic country pop
Tom Tom Club,dance rock
Tom Trefethen,
Tom Verlaine,post-punk
Tom Waits,folk
Tom Walker,indie anthem-folk
Tom Wilson,
Tom Wopat,broadway
Tom Zé,baile pop
TomSka,
Toma Tu Lugar,latin worship
Tomahawk,alternative metal
Tomas et ses Merry Boys,
Tomaso Albinoni,baroque
Tomaso Antonio Vitali,baroque
Tomatito,flamenco
Tomine Harket,norwegian pop
Tommar Wilson,
Tommee Profitt,anthem worship
Tommy Alverson,roots americana
Tommy Blake,rockabilly
Tommy Bolin,blues rock
Tommy Boyce,brill building pop
Tommy Bracco,
Tommy Cash,estonian hip hop
Tommy Collins,bakersfield sound
Tommy Dorsey,adult standards
Tommy Dorsey & His Clambake Seven,
Tommy Dorsey Orchestra,big band
Tommy Edwards,deep adult standards
Tommy Flanagan,bebop
Tommy Flanagan Trio,jazz trio
Tommy Goldman,
Tommy Guerrero,electronica
Tommy James,brill building pop
Tommy James & The Shondells,brill building pop
Tommy K,
Tommy Koverhult,
Tommy Lee,dancehall
Tommy Luske,
Tommy Makem,celtic
Tommy McCook,
Tommy McCook & The Supersonics,rock steady
Tommy Mcgee,traditional soul
Tommy Olivencia,latin jazz
Tommy Olivencia y Su Orquesta,latin jazz
Tommy Page,
Tommy Rall,
Tommy Roe,adult standards
Tommy Sands,rock-and-roll
Tommy Shane Steiner,
Tommy Shaw,album rock
Tommy Torres,latin
Tommy Trash,aussietronica
Tommy Tutone,album rock
Tommy Walker,christian music
Tomorrows Bad Seeds,jawaiian
Tomoya Ohtani,sound team
Tompall & The Glaser Brothers,deep free jazz
Tomppabeats,chillhop
Ton Koopman,choral
Tonasia,deep freestyle
Tone-Loc,hip house
Tonedeff,underground rap
Tones And I,australian pop
Tones On Tail,dance rock
Toni Braxton,dance pop
Toni Maroudas,
Toni Romiti,deep pop r&b
Tonic,neo mellow
Tonight Alive,candy pop
Tonina Torrielli,classic eurovision
Toninho Horta,bossa nova
Tonino Baliardo,flamenco guitar
Tonis Maroudas,
Tonny Tun Tun,tropical
Tony & The Monstrosities,
Tony Aguirre,corrido
Tony Bennett,adult standards
Tony Burrello,novelty
Tony Curtis,lovers rock
Tony Dize,latin
Tony Fruscella,jazz trumpet
Tony Furtado,bluegrass
Tony Hancock,british comedy
Tony Harnell,
Tony Hymas,
Tony Igy,russian dance
Tony Jay,disney
Tony Joe White,blues
Tony Levin,instrumental rock
Tony MacMahon,irish accordion
Tony Marcus,
Tony Matterhorn,dancehall
Tony Michael,
Tony Morales,
Tony Mordente,
Tony Mottola,easy listening
Tony Orlando,bubblegum pop
Tony Orlando & Dawn,bubblegum pop
Tony Pizarro con Ray Dávila y su Conjunto,
Tony Proteau & His Orchestra,
Tony Pérez,
Tony Rebel,lovers rock
Tony Reedus,
Tony Rice,appalachian folk
Tony Rice Unit,bluegrass
Tony Rosado,cumbia peruana
Tony Russo,
Tony Schwartz,
Tony Scott,jazz clarinet
Tony Smalios,
Tony Sunshine,
Tony Terry,new jack swing
Tony Thompson,new jack swing
Tony Trischka,banjo
Tony Vega,latin
Tony Williams,avant-garde jazz
Tony Wilson,
Tony Yayo,hip hop
Tony! Toni! Toné!,funk
Tonéx,gospel
Too $hort,cali rap
Too Close To Touch,christian rock
Too Rude,reggae rock
Toon Hermans,dutch cabaret
Toots & The Maytals,reggae
Toots Camarata & His Orchestra,
Toots Thielemans,belgian jazz
Topic,german dance
Toploader,british alternative rock
Topol,vintage hollywood
Toquinho,bossa nova
Tora Tora,alternative r&b
Toraia Orchestra Of Algiers,
Torcuato Mariano,smooth jazz
Torgny Sporsen,
Tori Amos,art pop
Tori Kelly,dance pop
Toro y Moi,alternative dance
Toronto,
Toronto Chamber Orchestra,chamber orchestra
Toronto Mendelssohn Choir,canadian choir
Toronto Symphony Orchestra,orchestra
Torsten Kerl,classical tenor
Torsten Ralf,
Tortoise,chicago indie
Tory Lanez,canadian hip hop
Tosca,big beat
Toscha Seildel,
Tosh Møller,
Toshiko Akiyoshi,classic japanese jazz
Total,hip hop
Total Devastation,
Toto Cutugno,classic italian pop
Totò,album rock
Totó La Momposina,chicha
Toubab Krewe,instrumental rock
Touch,bubblegum dance
Touch Sensitive,alternative dance
Toulouse,
Toumani Diabaté,afropop
Toumpakaris,
Tourist,chillwave
Toussaint McCall,southern soul
Tove Lo,dance pop
Tove Styrke,dance pop
Tow'rs,
Tower Of Power,funk
Towkio,chicago rap
Town Mountain,bluegrass
Townes Van Zandt,alternative country
Toxik,metal
Toy,hip pop
Toy Dolls,
Toy Souljah,
Toy-Box,bubblegum dance
Toya,hip pop
Toña La Negra,bolero
Toño Escobar Y Sus Locos,
Toño Rosario,dominican pop
Toño Y Freddy,banda caliente
Trace Adkins,contemporary country
Tracey Chattaway,focus
Tracey Thorn,british soul
Tracey Ullman,new wave pop
Traci Lords,
Traci Nelson,
Traci Parnell,
Tracie Spencer,new jack swing
Tracie Thoms,broadway
Tracy Bonham,alternative pop
Tracy Byrd,contemporary country
Tracy Chapman,folk
Tracy Huang,c-pop
Tracy Lawrence,arkansas country
Tracy Nicole Chapman,
Trade Martin,
Trademark Da Skydiver,alternative hip hop
Trader Horne,british folk
Trading Yesterday,neo mellow
Traditional,sleep
Trae Tha Truth,deep southern trap
Traffic,album rock
Traffic Sound,nueva ola peruana
Tragedy Khadafi,boom bap
Trailer Choir,country road
Train,dance pop
Trais,
Tramaine Hawkins,gospel
Trampled by Turtles,bluegrass
Tranquility Spree,environmental
Trans-Siberian Orchestra,neo classical metal
Trans-X,hi-nrg
Translator,
Transplants,punk
Transvision Vamp,candy pop
Tranzas,cumbia
Trap Beckham,florida rap
Trap Capos,reggaeton
Trapboy Freddy,deep southern trap
Trapeze,blues rock
Trapical,
Trapt,alternative metal
Trashcan Sinatras,britpop
Traveling Wilburys,album rock
Travie McCoy,dance pop
Traviezoz de la Zierra,corridos tumbados
Travis,rap
Travis Atreo,channel pop
Travis Barker,rap rock
Travis Cottrell,anthem worship
Travis Denning,contemporary country
Travis Greene,gospel
Travis Mendes,nyc pop
Travis Porter,atl hip hop
Travis Scott,rap
Travis Tritt,contemporary country
Tray Dee,
Treach,new jersey rap
Treal Lee,dfw rap
Trebol Clan,latin
Tree Vaifale,
Tree63,african rock
Trefuego,
Trem Da Alegria,musica infantil
Trent Kendall,
Trent Reznor and Atticus Ross,soundtrack
Trent Tomlinson,contemporary country
Trevor Connah,
Trevor Daniel,alternative r&b
Trevor Guthrie,canadian pop
Trevor Hall,acoustic pop
Trevor Jones,classic soundtrack
Trevor Kowalski,background music
Trevor Morris,canadian soundtrack
Trevor Pinnock,classical performance
Trevor Rabin,classic soundtrack
Trevor Rich,
Trevor Sparks,deep ragga
Trey Anastasio,jam band
Trey Lorenz,new jack swing
Trey Songz,dance pop
TreyD,
Treyarch,
Treyarch Sound,
Triathalon,indie garage rock
Tribal Seeds,modern reggae
Tribal Tech,electric bass
Trick Daddy,crunk
Trick Pony,country
Trick Trick,album rock
Tricky,art pop
Triegy,
Trife,
Trife Da God,
Triganuca Nemciu,
Trigo Limpio,pop romantico
Trill Ryan,
Trillville,atl hip hop
Trilok Kapoor,
Trin-I-Tee 5:7,gospel
Trina,deep pop r&b
Trina Broussard,neo soul
Trinere,electro
Trini Lopez,adult standards
Trinidad Cardona,
Trinidad James,atl hip hop
Trinidad Troubadours,
Triny La Leyenda,banda
Trio,chicago punk
Trio Aguilillas,ethnomusicology
Trio Costeño,
Trio De Ouro,velha guarda
Trio Kitara,
Trio Lescano,swing italiano
Trio Lissabet,trio cubano
Trio Los Condes,bolero
Trio Madrigal,
Trio Maravilla,
Trio Mocoto,afrofuturismo brasileiro
Trio Nocturnal,
Trio Surdina,baiao
Trio Vampari,
Trip Lee,christian hip hop
Triple Seis,
Trippie Redd,melodic rap
Tripping Daisy,alternative rock
TrippyThaKid,dark trap
Trippz Michaud,
Tripuramba,
Trisha Yearwood,contemporary country
Tristam,brostep
Tristan Powell,
Tristan Tzara,early avant garde
Triste Janero,sunshine pop
Tristeza Melancolía,
Tristian Fitzmaurice,
Tritonal,big room
Triumph,album rock
Trivium,alternative metal
Trixter,glam metal
Trizz,deep underground hip hop
Trocadero,
Trombone Shorty,funk
Troop,boy band
Troop 41,nc hip hop
Trooper,album rock
Tropical Del Bravo,grupera
Tropical Panamá,cumbia lagunera
Tropicalísimo Apache,cumbia
Trouble,atl hip hop
Trouble Andrew,
Trouble Maker,k-pop
Troy,australian pop
Troy Ave,trap
Troy Cartwright,country pop
Troy Shondell,deep adult standards
TroyBoi,bass trap
Troye Sivan,australian pop
Tru,corridos tumbados
Truckfighters,instrumental stoner rock
Trude Roesler,
Trudy Stevens,
True Damage,k-rap
